year_group,percentile_band,gem_score,word
R,99,98,kite
R,99,98,leg
R,99,99,lion
R,99,99,milk
R,99,100,mouse
Y1,60,8,above
Y1,60,8,below
Y1,60,9,across
Y1,60,9,through
Y1,60,10,around
Y1,60,10,between
Y1,60,11,inside
Y1,60,11,outside
Y1,60,17,arrive
Y1,60,12,leave
Y1,60,45,begin
Y1,60,13,end
Y1,60,14,answer
Y1,60,14,question
Y1,60,15,ask
Y1,60,15,tell
Y1,60,16,speak
Y1,60,16,listen
Y1,60,17,look
Y1,60,17,watch
Y1,60,18,see
Y1,60,18,hear
Y1,60,19,smell
Y1,60,19,taste
Y1,60,20,touch
Y1,60,20,carry
Y1,60,21,hold
Y1,60,21,drop
Y1,60,22,throw
Y1,60,22,catch
Y1,60,32,pull
Y1,60,32,push
Y1,60,24,follow
Y1,60,24,lead
Y1,60,25,first
Y1,60,25,last
Y1,60,26,next
Y1,60,26,soon
Y1,60,27,always
Y1,60,27,never
Y1,60,28,sometimes
Y1,60,28,often
Y1,60,29,beautiful
Y1,60,29,ugly
Y1,60,30,careful
Y1,60,30,careless
Y1,60,31,clever
Y1,60,31,foolish
Y1,60,32,friendly
Y1,60,32,lonely
Y1,75,28,healthy
Y1,75,28,ill
Y1,75,29,hungry
Y1,75,29,thirsty
Y1,75,30,excited
Y1,75,30,worried
Y1,75,31,surprised
Y1,75,31,bored
Y1,75,50,proud
Y1,75,34,ashamed
Y1,75,33,polite
Y1,75,33,rude
Y1,75,45,honest
Y1,75,34,unfair
Y1,75,35,lucky
Y1,75,35,unlucky
Y1,75,36,useful
Y1,75,36,useless
Y1,75,37,famous
Y1,75,37,secret
Y1,75,38,strange
Y1,75,38,normal
Y1,75,39,special
Y1,75,39,common
Y1,75,67,simple
Y1,75,40,difficult
Y1,75,51,enormous
Y1,75,61,miniature
Y1,75,42,cheerful
Y1,75,62,gloomy
Y1,75,61,rapid
Y1,75,62,sluggish
Y1,75,62,silent
Y1,75,44,deafening
Y1,75,50,smooth
Y1,75,45,jagged
Y1,75,64,sturdy
Y1,75,67,fragile
Y1,75,66,ancient
Y1,75,47,recent
Y1,75,65,narrow
Y1,75,48,broad
Y1,75,64,shallow
Y1,75,65,deep
Y1,75,50,eager
Y1,75,73,reluctant
Y1,75,61,calm
Y1,75,61,furious
Y1,75,69,timid
Y1,75,52,bold
Y1,90,62,generous
Y1,90,49,greedy
Y1,90,49,curious
Y1,90,50,puzzled
Y1,90,50,vanish
Y1,90,51,appear
Y1,90,51,protect
Y1,90,52,rescue
Y1,90,52,damage
Y1,90,53,repair
Y1,90,53,gather
Y1,90,54,scatter
Y1,90,68,admire
Y1,90,55,avoid
Y1,90,55,behave
Y1,90,56,belong
Y1,90,56,borrow
Y1,90,57,return
Y1,90,58,capture
Y1,90,58,escape
Y1,90,59,complain
Y1,90,59,praise
Y1,90,60,confuse
Y1,90,60,clarify
Y1,90,94,create
Y1,90,61,destroy
Y1,90,70,decide
Y1,90,62,hesitate
Y1,90,63,delight
Y1,90,63,disappoint
Y1,90,81,scarce
Y1,90,64,plentiful
Y1,90,67,precious
Y1,90,66,worthless
Y1,90,68,sensible
Y1,90,67,ridiculous
Y1,90,67,cautious
Y1,90,68,reckless
Y1,90,68,peaceful
Y1,90,69,fierce
Y1,90,69,loyal
Y1,90,70,disloyal
Y1,90,70,patient
Y1,90,71,impatient
Y1,90,94,action
Y1,90,72,adventure
Y1,90,72,animal
Y1,90,73,autumn
Y1,90,73,basket
Y1,90,74,beach
Y1,99,70,because
Y1,99,71,become
Y1,99,71,blanket
Y1,99,72,bottle
Y1,99,72,branch
Y1,99,73,breakfast
Y1,99,74,bridge
Y1,99,74,brother
Y1,99,75,button
Y1,99,76,castle
Y1,99,76,centre
Y1,99,94,change
Y1,99,77,children
Y1,99,78,circle
Y1,99,79,city
Y1,99,79,clothes
Y1,99,80,colour
Y1,99,80,corner
Y1,99,81,cousin
Y1,99,82,dance
Y1,99,82,danger
Y1,99,83,daughter
Y1,99,83,dinner
Y1,99,84,doctor
Y1,99,85,dream
Y1,99,85,earth
Y1,99,86,family
Y1,99,87,farmer
Y1,99,87,feather
Y1,99,88,forest
Y1,99,88,garden
Y1,99,89,ground
Y1,99,90,happen
Y1,99,90,holiday
Y1,99,91,idea
Y1,99,91,island
Y1,99,92,kitchen
Y1,99,93,letter
Y1,99,93,machine
Y1,99,94,market
Y1,99,94,minute
Y1,99,94,money
Y1,99,94,morning
Y1,99,94,mountain
Y1,99,94,music
Y1,99,94,number
Y1,99,94,ocean
Y1,99,94,parent
Y1,99,94,party
Y1,99,94,people
Y2,60,8,accept
Y2,60,8,refuse
Y2,60,9,agree
Y2,60,9,disagree
Y2,60,10,allow
Y2,60,10,forbid
Y2,60,11,arrive
Y2,60,11,depart
Y2,60,50,borrow
Y2,60,12,lend
Y2,60,13,buy
Y2,60,13,sell
Y2,60,23,include
Y2,60,60,exclude
Y2,60,23,increase
Y2,60,15,decrease
Y2,60,61,remember
Y2,60,62,forget
Y2,60,17,succeed
Y2,60,17,fail
Y2,60,18,win
Y2,60,18,lose
Y2,60,19,enter
Y2,60,19,exit
Y2,60,45,appear
Y2,60,20,disappear
Y2,60,21,connect
Y2,60,21,separate
Y2,60,39,begin
Y2,60,22,continue
Y2,60,39,finish
Y2,60,23,pause
Y2,60,43,collect
Y2,60,24,deliver
Y2,60,25,receive
Y2,60,51,return
Y2,60,26,amazed
Y2,60,26,astonished
Y2,60,27,annoyed
Y2,60,33,anxious
Y2,60,28,ashamed
Y2,60,28,awful
Y2,60,35,brilliant
Y2,60,55,calm
Y2,60,36,cheerful
Y2,60,30,comfortable
Y2,60,31,cruel
Y2,60,43,curious
Y2,60,50,delighted
Y2,60,38,disappointed
Y2,75,28,embarrassed
Y2,75,45,enormous
Y2,75,29,excellent
Y2,75,29,exhausted
Y2,75,30,fair
Y2,75,35,familiar
Y2,75,63,fierce
Y2,75,36,fortunate
Y2,75,38,gentle
Y2,75,38,grateful
Y2,75,33,guilty
Y2,75,33,horrible
Y2,75,39,important
Y2,75,34,impossible
Y2,75,71,abundant
Y2,75,75,scarce
Y2,75,43,accurate
Y2,75,36,mistaken
Y2,75,60,ancient
Y2,75,61,modern
Y2,75,38,confident
Y2,75,61,cautious
Y2,75,62,reckless
Y2,75,56,combine
Y2,75,40,divide
Y2,75,62,conceal
Y2,75,41,reveal
Y2,75,41,constant
Y2,75,42,occasional
Y2,75,55,delicate
Y2,75,58,sturdy
Y2,75,56,desperate
Y2,75,44,hopeful
Y2,75,44,eager
Y2,75,67,reluctant
Y2,75,62,immense
Y2,75,59,essential
Y2,75,46,optional
Y2,75,47,unfortunate
Y2,75,61,genuine
Y2,75,48,false
Y2,75,48,graceful
Y2,75,49,clumsy
Y2,75,49,harsh
Y2,75,50,mild
Y2,75,59,absurd
Y2,75,51,admirable
Y2,75,51,aggressive
Y2,75,73,ambitious
Y2,75,53,apparent
Y2,90,74,bewildered
Y2,90,49,boastful
Y2,90,75,compassionate
Y2,90,50,considerate
Y2,90,77,courageous
Y2,90,51,deceitful
Y2,90,51,determined
Y2,90,78,diligent
Y2,90,52,dreadful
Y2,90,53,efficient
Y2,90,57,elaborate
Y2,90,54,elegant
Y2,90,54,envious
Y2,90,80,exceptional
Y2,90,55,furious
Y2,90,56,generous
Y2,90,56,gloomy
Y2,90,78,hesitant
Y2,90,58,ignorant
Y2,90,58,innocent
Y2,90,59,jealous
Y2,90,81,magnificent
Y2,90,60,miserable
Y2,90,60,mysterious
Y2,90,66,peculiar
Y2,90,61,precious
Y2,90,85,remarkable
Y2,90,62,sensible
Y2,90,68,severe
Y2,90,63,timid
Y2,90,64,tremendous
Y2,90,64,urgent
Y2,90,88,vivid
Y2,90,88,ability
Y2,90,66,activity
Y2,90,67,advice
Y2,90,67,amount
Y2,90,68,attention
Y2,90,68,balance
Y2,90,69,behaviour
Y2,90,69,belief
Y2,90,70,bottom
Y2,90,70,centre
Y2,90,71,chance
Y2,90,71,choice
Y2,90,88,community
Y2,90,72,country
Y2,90,73,courage
Y2,90,73,crowd
Y2,90,76,danger
Y2,99,88,decision
Y2,99,88,difference
Y2,99,88,direction
Y2,99,72,distance
Y2,99,72,education
Y2,99,73,energy
Y2,99,88,example
Y2,99,88,experience
Y2,99,75,fact
Y2,99,76,future
Y2,99,76,group
Y2,99,88,habit
Y2,99,77,history
Y2,99,88,information
Y2,99,88,interest
Y2,99,79,journey
Y2,99,88,knowledge
Y2,99,80,language
Y2,99,81,lesson
Y2,99,82,material
Y2,99,82,meaning
Y2,99,83,memory
Y2,99,83,message
Y2,99,84,nature
Y2,99,85,opinion
Y2,99,88,pattern
Y2,99,86,person
Y2,99,87,position
Y2,99,87,possible
Y2,99,88,power
Y2,99,88,reason
Y2,99,88,relationship
Y2,99,88,sentence
Y2,99,88,shape
Y2,99,88,situation
Y2,99,88,skill
Y2,99,88,space
Y2,99,88,subject
Y2,99,88,surprise
Y2,99,88,thought
Y2,99,88,truth
Y2,99,88,value
Y2,99,88,voice
Y2,99,88,wonder
Y2,99,88,worry
Y2,99,88,action
Y2,99,88,cause
Y2,99,88,change
Y2,99,88,condition
Y2,99,88,create
Y3,60,8,achieve
Y3,60,8,attempt
Y3,60,43,avoid
Y3,60,9,benefit
Y3,60,10,challenge
Y3,60,10,complete
Y3,60,11,consider
Y3,60,16,continue
Y3,60,82,create
Y3,60,40,damage
Y3,60,58,decide
Y3,60,57,describe
Y3,60,22,develop
Y3,60,36,discover
Y3,60,23,effect
Y3,60,15,effort
Y3,60,56,explain
Y3,60,16,improve
Y3,60,17,include
Y3,60,17,increase
Y3,60,18,influence
Y3,60,53,notice
Y3,60,19,observe
Y3,60,29,occur
Y3,60,30,prevent
Y3,60,39,protect
Y3,60,21,provide
Y3,60,21,realise
Y3,60,22,reduce
Y3,60,32,require
Y3,60,33,respond
Y3,60,23,result
Y3,60,24,select
Y3,60,24,solve
Y3,60,35,suggest
Y3,60,25,support
Y3,60,37,accurate
Y3,60,26,adventurous
Y3,60,27,anxious
Y3,60,43,appropriate
Y3,60,28,attractive
Y3,60,28,aware
Y3,60,29,brilliant
Y3,60,55,cautious
Y3,60,30,cheerful
Y3,60,32,confident
Y3,60,36,convenient
Y3,60,37,curious
Y3,60,45,determined
Y3,60,32,disappointed
Y3,75,38,eager
Y3,75,28,effective
Y3,75,39,enormous
Y3,75,29,familiar
Y3,75,30,fortunate
Y3,75,46,frequent
Y3,75,50,generous
Y3,75,32,gentle
Y3,75,32,grateful
Y3,75,43,harmful
Y3,75,33,honest
Y3,75,33,important
Y3,75,44,independent
Y3,75,34,likely
Y3,75,45,nervous
Y3,75,48,ordinary
Y3,75,58,patient
Y3,75,56,peaceful
Y3,75,37,popular
Y3,75,37,powerful
Y3,75,38,practical
Y3,75,38,proud
Y3,75,48,rare
Y3,75,51,reasonable
Y3,75,40,responsible
Y3,75,40,serious
Y3,75,50,similar
Y3,75,41,successful
Y3,75,51,suitable
Y3,75,42,unusual
Y3,75,54,valuable
Y3,75,43,abandon
Y3,75,44,absorb
Y3,75,53,absurd
Y3,75,56,admire
Y3,75,45,alert
Y3,75,57,alter
Y3,75,54,ancient
Y3,75,47,apparent
Y3,75,82,approach
Y3,75,48,astonish
Y3,75,48,awkward
Y3,75,49,bewilder
Y3,75,49,calm
Y3,75,54,cease
Y3,75,50,combine
Y3,75,51,commence
Y3,75,56,conceal
Y3,75,52,conclude
Y3,75,82,conflict
Y3,90,48,convince
Y3,90,60,decline
Y3,90,49,delicate
Y3,90,50,demonstrate
Y3,90,50,desperate
Y3,90,61,diminish
Y3,90,51,elaborate
Y3,90,62,emerge
Y3,90,60,endure
Y3,90,53,essential
Y3,90,53,evident
Y3,90,54,exclude
Y3,90,54,expand
Y3,90,55,fragile
Y3,90,55,genuine
Y3,90,62,hostile
Y3,90,56,immense
Y3,90,57,imitate
Y3,90,58,indicate
Y3,90,58,inferior
Y3,90,65,inspect
Y3,90,59,intense
Y3,90,60,peculiar
Y3,90,68,preserve
Y3,90,61,reluctant
Y3,90,69,scarce
Y3,90,62,severe
Y3,90,62,significant
Y3,90,63,sufficient
Y3,90,70,tolerate
Y3,90,64,vast
Y3,90,64,abrupt
Y3,90,65,abundant
Y3,90,66,accomplish
Y3,90,66,adequate
Y3,90,67,ambitious
Y3,90,67,anticipate
Y3,90,68,arrogant
Y3,90,68,bewildered
Y3,90,69,compassionate
Y3,90,69,competent
Y3,90,70,consequence
Y3,90,70,contemplate
Y3,90,71,contradict
Y3,90,71,courageous
Y3,90,72,deliberate
Y3,90,72,diligent
Y3,90,73,distinguish
Y3,90,73,encounter
Y3,90,74,exceptional
Y3,99,70,extravagant
Y3,99,80,formidable
Y3,99,81,futile
Y3,99,72,hesitant
Y3,99,72,illuminate
Y3,99,73,inevitable
Y3,99,82,ingenious
Y3,99,74,interpret
Y3,99,75,magnificent
Y3,99,76,mischief
Y3,99,76,obscure
Y3,99,77,perceive
Y3,99,77,persistent
Y3,99,78,precise
Y3,99,79,remarkable
Y3,99,82,sceptical
Y3,99,80,subtle
Y3,99,80,transform
Y3,99,81,treacherous
Y3,99,82,vivid
Y3,99,82,ability
Y3,99,82,advantage
Y3,99,82,atmosphere
Y3,99,82,attitude
Y3,99,82,audience
Y3,99,82,authority
Y3,99,82,average
Y3,99,82,boundary
Y3,99,82,character
Y3,99,82,circumstance
Y3,99,82,community
Y3,99,82,condition
Y3,99,82,confidence
Y3,99,82,decision
Y3,99,82,detail
Y3,99,82,difference
Y3,99,82,direction
Y3,99,82,environment
Y3,99,82,event
Y3,99,82,example
Y3,99,82,experience
Y3,99,82,feature
Y3,99,82,function
Y3,99,82,goal
Y3,99,82,habit
Y3,99,82,individual
Y3,99,82,information
Y3,99,82,interest
Y3,99,82,issue
Y3,99,82,knowledge
Y4,60,21,analyse
Y4,60,76,approach
Y4,60,9,arrange
Y4,60,9,assume
Y4,60,37,avoid
Y4,60,16,category
Y4,60,76,cause
Y4,60,52,compare
Y4,60,46,conclude
Y4,60,64,consequence
Y4,60,26,contrast
Y4,60,13,contribute
Y4,60,42,convince
Y4,60,21,define
Y4,60,44,demonstrate
Y4,60,51,describe
Y4,60,28,determine
Y4,60,16,develop
Y4,60,67,distinguish
Y4,60,17,effect
Y4,60,29,evidence
Y4,60,50,explain
Y4,60,25,factor
Y4,60,26,identify
Y4,60,76,impact
Y4,60,52,indicate
Y4,60,27,infer
Y4,60,68,interpret
Y4,60,22,investigate
Y4,60,29,method
Y4,60,23,occur
Y4,60,23,persuade
Y4,60,24,predict
Y4,60,24,prevent
Y4,60,76,process
Y4,60,25,purpose
Y4,60,35,relevant
Y4,60,26,require
Y4,60,27,respond
Y4,60,56,significant
Y4,60,32,source
Y4,60,38,structure
Y4,60,29,suggest
Y4,60,39,theory
Y4,60,30,vary
Y4,60,59,abundant
Y4,60,31,accurate
Y4,60,60,adequate
Y4,60,61,ambitious
Y4,60,41,apparent
Y4,75,37,appropriate
Y4,75,49,cautious
Y4,75,34,complex
Y4,75,34,considerable
Y4,75,35,consistent
Y4,75,30,convenient
Y4,75,44,crucial
Y4,75,31,curious
Y4,75,66,deliberate
Y4,75,41,efficient
Y4,75,45,elaborate
Y4,75,33,enormous
Y4,75,47,essential
Y4,75,47,evident
Y4,75,68,exceptional
Y4,75,40,frequent
Y4,75,49,genuine
Y4,75,36,gradual
Y4,75,37,harmful
Y4,75,66,hesitant
Y4,75,50,immense
Y4,75,38,independent
Y4,75,67,inevitable
Y4,75,52,inferior
Y4,75,53,intense
Y4,75,42,logical
Y4,75,69,magnificent
Y4,75,42,ordinary
Y4,75,72,precise
Y4,75,42,rare
Y4,75,45,reasonable
Y4,75,55,reluctant
Y4,75,44,similar
Y4,75,57,sufficient
Y4,75,45,suitable
Y4,75,45,temporary
Y4,75,48,valuable
Y4,75,58,vast
Y4,75,58,abrupt
Y4,75,47,absurd
Y4,75,60,accomplish
Y4,75,48,acknowledge
Y4,75,49,acquire
Y4,75,49,adapt
Y4,75,50,admire
Y4,75,50,advocate
Y4,75,51,alter
Y4,75,61,anticipate
Y4,75,62,arrogant
Y4,75,62,bewildered
Y4,90,48,cease
Y4,90,49,coherent
Y4,90,63,compassionate
Y4,90,50,compel
Y4,90,50,conceal
Y4,90,65,contradict
Y4,90,65,courageous
Y4,90,54,decline
Y4,90,55,diminish
Y4,90,66,diligent
Y4,90,53,discreet
Y4,90,54,endure
Y4,90,54,evade
Y4,90,64,extravagant
Y4,90,74,formidable
Y4,90,75,futile
Y4,90,56,hostile
Y4,90,66,illuminate
Y4,90,76,impartial
Y4,90,76,ingenious
Y4,90,59,inspect
Y4,90,59,justify
Y4,90,60,keen
Y4,90,70,obscure
Y4,90,71,perceive
Y4,90,71,persistent
Y4,90,62,preserve
Y4,90,62,prominent
Y4,90,63,scarce
Y4,90,76,sceptical
Y4,90,74,subtle
Y4,90,64,tolerate
Y4,90,74,transform
Y4,90,75,treacherous
Y4,90,76,vivid
Y4,90,67,ambiguous
Y4,90,67,anomaly
Y4,90,68,articulate
Y4,90,68,audacious
Y4,90,69,benevolent
Y4,90,69,candid
Y4,90,70,complacent
Y4,90,70,concise
Y4,90,71,condescending
Y4,90,71,credible
Y4,90,72,cynical
Y4,90,72,detrimental
Y4,90,73,discerning
Y4,90,73,eloquent
Y4,90,74,elusive
Y4,99,70,empirical
Y4,99,71,feasible
Y4,99,71,frugal
Y4,99,76,hypothetical
Y4,99,76,meticulous
Y4,99,76,naive
Y4,99,74,notorious
Y4,99,76,obsolete
Y4,99,76,paradox
Y4,99,76,plausible
Y4,99,76,pragmatic
Y4,99,76,profound
Y4,99,76,resilient
Y4,99,76,rigorous
Y4,99,76,scrutinise
Y4,99,76,tentative
Y4,99,76,trivial
Y4,99,76,unequivocal
Y4,99,76,versatile
Y4,99,76,vigilant
Y4,99,76,ability
Y4,99,76,access
Y4,99,76,advantage
Y4,99,76,alternative
Y4,99,76,attitude
Y4,99,76,authority
Y4,99,76,circumstance
Y4,99,76,community
Y4,99,76,condition
Y4,99,76,confidence
Y4,99,76,conflict
Y4,99,76,consideration
Y4,99,76,context
Y4,99,76,decision
Y4,99,76,detail
Y4,99,76,environment
Y4,99,76,estimate
Y4,99,76,evaluation
Y4,99,76,event
Y4,99,76,feature
Y4,99,76,function
Y4,99,76,goal
Y4,99,76,individual
Y4,99,76,information
Y4,99,76,issue
Y4,99,76,knowledge
Y4,99,76,measure
Y4,99,76,opportunity
Y4,99,76,organisation
Y4,99,76,outcome
Y5,60,14,abstract
Y5,60,15,analyse
Y5,60,16,argument
Y5,60,16,assumption
Y5,60,17,bias
Y5,60,10,category
Y5,60,36,clarify
Y5,60,43,coherent
Y5,60,46,compare
Y5,60,18,concept
Y5,60,40,conclude
Y5,60,58,consequence
Y5,60,70,context
Y5,60,20,contrast
Y5,60,15,criteria
Y5,60,15,define
Y5,60,38,demonstrate
Y5,60,21,derive
Y5,60,22,determine
Y5,60,61,distinguish
Y5,60,23,evidence
Y5,60,24,explicit
Y5,60,19,factor
Y5,60,19,hypothesis
Y5,60,20,identify
Y5,60,20,implication
Y5,60,46,indicate
Y5,60,21,infer
Y5,60,62,interpret
Y5,60,53,justify
Y5,60,23,method
Y5,60,26,objective
Y5,60,27,perspective
Y5,60,29,principle
Y5,60,29,relevant
Y5,60,30,reliable
Y5,60,50,significant
Y5,60,26,source
Y5,60,31,specific
Y5,60,32,structure
Y5,60,33,theory
Y5,60,34,valid
Y5,60,34,variable
Y5,60,53,abundant
Y5,60,61,ambiguous
Y5,60,35,apparent
Y5,60,31,appropriate
Y5,60,35,arbitrary
Y5,60,43,cautious
Y5,60,32,compelling
Y5,75,28,complex
Y5,75,28,considerable
Y5,75,29,consistent
Y5,75,65,credible
Y5,75,38,crucial
Y5,75,60,deliberate
Y5,75,35,efficient
Y5,75,39,elaborate
Y5,75,34,equivalent
Y5,75,41,evident
Y5,75,62,exceptional
Y5,75,65,feasible
Y5,75,34,frequent
Y5,75,36,fundamental
Y5,75,43,genuine
Y5,75,61,inevitable
Y5,75,36,logical
Y5,75,36,notable
Y5,75,66,precise
Y5,75,37,prevalent
Y5,75,70,profound
Y5,75,40,rational
Y5,75,39,reasonable
Y5,75,49,reluctant
Y5,75,42,sophisticated
Y5,75,42,substantial
Y5,75,51,sufficient
Y5,75,70,tentative
Y5,75,42,valuable
Y5,75,70,versatile
Y5,75,43,acquire
Y5,75,44,advocate
Y5,75,45,alleviate
Y5,75,55,anticipate
Y5,75,62,articulate
Y5,75,45,assert
Y5,75,46,attribute
Y5,75,50,concede
Y5,75,59,contradict
Y5,75,47,convey
Y5,75,48,decline
Y5,75,48,depict
Y5,75,49,diminish
Y5,75,53,discern
Y5,75,50,discriminate
Y5,75,50,emerge
Y5,75,51,emphasise
Y5,75,61,encounter
Y5,75,52,enhance
Y5,75,52,evaluate
Y5,90,48,evade
Y5,90,49,exploit
Y5,90,49,fluctuate
Y5,90,50,formulate
Y5,90,58,hinder
Y5,90,51,imply
Y5,90,51,induce
Y5,90,52,inhibit
Y5,90,52,manipulate
Y5,90,65,perceive
Y5,90,53,persist
Y5,90,56,preserve
Y5,90,54,reinforce
Y5,90,70,scrutinise
Y5,90,55,sustain
Y5,90,68,transform
Y5,90,59,undermine
Y5,90,57,aberration
Y5,90,58,acquiesce
Y5,90,58,altruistic
Y5,90,59,ambivalent
Y5,90,59,astute
Y5,90,60,austere
Y5,90,63,benevolent
Y5,90,63,candid
Y5,90,64,complacent
Y5,90,62,contentious
Y5,90,62,cryptic
Y5,90,66,cynical
Y5,90,63,deference
Y5,90,66,detrimental
Y5,90,67,discerning
Y5,90,65,dogmatic
Y5,90,67,eloquent
Y5,90,66,enigmatic
Y5,90,67,ephemeral
Y5,90,67,equivocal
Y5,90,68,fastidious
Y5,90,68,formidable
Y5,90,69,fortuitous
Y5,90,69,futile
Y5,90,70,hypothetical
Y5,90,70,impartial
Y5,90,70,incongruous
Y5,90,70,ingenious
Y5,90,70,meticulous
Y5,90,70,mitigate
Y5,90,70,naive
Y5,90,70,nuanced
Y5,90,70,obsolete
Y5,99,70,paradox
Y5,99,70,pragmatic
Y5,99,70,prolific
Y5,99,70,resilient
Y5,99,70,rigorous
Y5,99,70,sceptical
Y5,99,70,sporadic
Y5,99,70,succinct
Y5,99,70,tenacious
Y5,99,70,trivial
Y5,99,70,unequivocal
Y5,99,70,vigilant
Y5,99,70,access
Y5,99,70,alternative
Y5,99,70,analysis
Y5,99,70,approach
Y5,99,70,authority
Y5,99,70,capacity
Y5,99,70,circumstance
Y5,99,70,complexity
Y5,99,70,conclusion
Y5,99,70,consideration
Y5,99,70,constraint
Y5,99,70,contribution
Y5,99,70,debate
Y5,99,70,definition
Y5,99,70,distribution
Y5,99,70,environment
Y5,99,70,estimate
Y5,99,70,evaluation
Y5,99,70,exception
Y5,99,70,explanation
Y5,99,70,feature
Y5,99,70,framework
Y5,99,70,function
Y5,99,70,impact
Y5,99,70,information
Y5,99,70,interpretation
Y5,99,70,issue
Y5,99,70,limitation
Y5,99,70,mechanism
Y5,99,70,outcome
Y5,99,70,pattern
Y5,99,70,potential
Y5,99,70,process
Y5,99,70,proportion
Y5,99,70,range
Y5,99,70,relationship
Y5,99,70,requirement
Y5,99,70,response
Y6,60,8,abstract
Y6,60,38,advocate
Y6,60,9,analyse
Y6,60,9,analogy
Y6,60,10,argument
Y6,60,10,assumption
Y6,60,11,bias
Y6,60,37,coherent
Y6,60,26,compelling
Y6,60,12,concept
Y6,60,52,consequence
Y6,60,64,context
Y6,60,14,contrast
Y6,60,14,criterion
Y6,60,15,critique
Y6,60,15,derive
Y6,60,16,determine
Y6,60,55,distinguish
Y6,60,58,empirical
Y6,60,17,evidence
Y6,60,18,explicit
Y6,60,18,inference
Y6,60,56,interpret
Y6,60,47,justify
Y6,60,30,logical
Y6,60,20,objective
Y6,60,64,paradox
Y6,60,21,perspective
Y6,60,64,plausible
Y6,60,22,premise
Y6,60,23,principle
Y6,60,23,relevant
Y6,60,24,reliable
Y6,60,24,rhetoric
Y6,60,44,significant
Y6,60,25,specific
Y6,60,26,structure
Y6,60,62,subtle
Y6,60,27,synthesis
Y6,60,27,theory
Y6,60,28,valid
Y6,60,28,variable
Y6,60,55,ambiguous
